Velo,SpinRate,HorzBreak,InducedVertBreak,estimate
94.45,2278,4.59,8.49,0.517680328437506
88.24,2185,3.07,21.57,0.4814526545609189
90.6,2274,13.6,15.64,0.513189405447942
91.99,2412,9,20.8,0.44642246740207586
95.37,2076,13.53,10.27,0.5336884845841976
96.35,2233,8.29,19.09,0.4421572005618087
92.98,2064,8.22,14.38,0.5157800597499758
94.29,2260,11.04,16.15,0.4792810695299155
96.65,2131,6.2,13.07,0.48731250400198395
94.2,2428,9.35,17.29,0.4528182005464639
91.93,2274,12.25,13.44,0.5160010956943815
92.26,2170,3.14,15.02,0.4977406895409314
87.5,2240.5829578451985,12.13,9.98,0.5751846146934042
98.67,2187,19.67,5.42,0.5414475781501722
90.73,2287,5.73,15.32,0.4998741616264201
95.97,2209,9.12,16.76,0.46445882727043725
93.82,2171,3.87,13.61,0.4968517589086031
94.5,2137,11.56,14.97,0.49881189909435403
93.92,2149,6.33,17.92,0.4730524348639881
91.62,2292,-1.53,13.78,0.4910287009844995
94.79,2256,4.19,14.94,0.4726895790658058
90.04,2140,6.21,13.17,0.5349992810686297
93.15,2494,11.3,13.64,0.48215666702418236
95.86,1995,14.76,5.95,0.5691988387293939
94.62,2402,9.35,17.95,0.4478092956735378
97.18,2714,8.99,9.06,0.457748878950673
93.71,2505,2.79,19.69,0.42193830098312984
93.37,2195,2.65,20.35,0.44997186604873207
92.72,1976,15.64,-0.96,0.6397440522238531
93.99,2516,4.19,17.88,0.4332197291055777
92.91,2302,11.55,17.55,0.47672735973319524
91.68,2093,6.16,16.87,0.5021580988789711
93.47,1884,17.38,2.74,0.6222464106211716
94.43,2104,5.57,19.44,0.4621061575318457
92.78,2124,14.84,10.04,0.551888886637171
96.41,2358,5.29,16.62,0.44113995409312207
96.98,2345,15,17.21,0.4503813044536472
95.29,2312,9.14,15.98,0.464679980443309
90.33,2184,13.99,9.22,0.5681430358037155
94.68,2391,10.17,19.24,0.44111596512299506
93.59,2062,14.72,4.94,0.5859016245477402
95.74,2255,2.68,19.22,0.43432211969379886
92.1,2114,1.83,17.39,0.4861151326973948
94.73,2106,4.28,16.87,0.47497771207417805
97.66,2463,8.53,14.4,0.4419972748820618
93.21,1896,13.81,5.09,0.6020342421359013
96.37,2172,7.56,17.85,0.4551415520300526
94.81,2074,13.8,12.13,0.5258588951478405
88.06,2128,11.04,10.09,0.579471214396141
94.28,2224,11.17,16.96,0.477618886568789
97.44,2427,12.29,4.26,0.5224198067912204
93.88,3024,11.38,13.43,0.4263063605062812
93.16,2354,8.02,19.23,0.45243899532123344
94.18,2573,5.16,19.04,0.4201633008630412
92.18,2099,5.01,17.84,0.48928427438966365
95.2,2315,11.05,14.42,0.47886268784629044
92.29,2279,5.54,10.35,0.5225961106351904
97.34,2447,7.82,17.31,0.42522791797578285
96.15,2335,16.9,10.99,0.503023112334128
95.71,1966,14.75,9.33,0.550393982894992
94.3,2162,16.84,4.23,0.5792949811227187
94.36,2209,7.05,15.3,0.48288973409937824
98.18,2365,4.7,20.34,0.4018918714042451
95.48,2342,11.02,17.82,0.45100253621078873
96.55,2552,10.01,15.86,0.43411463651131954
94.88,2415,3.8,15.99,0.4486032600789304
94.48,2182,17.58,8.8,0.5465836864458828
92.43,2083,3.33,15.54,0.5018642479286326
94.42,2257,6.86,15.19,0.47812486392240705
90.92,2314,10.5,13.03,0.5194194154650443
91.84,2489,12.45,13.48,0.4954423462335328
90.4,1979,7.02,19.52,0.5063703128324675
94.04,2292,13.71,14.71,0.49227972709504586
95.17,2573,3.15,19.73,0.4051634364779064
93.49,2245,6.7,15.42,0.4844035023777399
93.4,2709,2.54,11.02,0.4621872397195959
96.98,2156,15.67,3.45,0.5635798650483812
91.7,1985,6.88,21.07,0.485275684485342
95.58,2512,9,20.47,0.4126867064556282
92.64,2311,6.5,17.39,0.470460599457074
96.81,2246,9,16.31,0.45743856684084705
93.77,1994,3.47,14.47,0.5082195501976552
95.11,2264,11.82,14.02,0.4885999265767407
93.31,2134,5.91,14.58,0.5011377334116449
97.6,2250,14.17,14.02,0.4753865319988002
89.98,2227,8.5,10.29,0.5502136361636465
88.43,2170,15.2,12.37,0.56432020921028
99.44,2290,20.84,6.38,0.5210039295636998
93.78,2204,11.44,12.98,0.5109150516938701
92.52,2038,6.31,18.71,0.48904473810158045
95.22,2372,4.24,18.43,0.4346185359559702
92.55,2078,8.79,16.39,0.5048544820055381
90.43,2212,9.54,4.86,0.5864247660075388
92.44,2219,3.87,4.98,0.5609507313721068
92.09,2283,3.96,17.89,0.46965501276292054
95.34,2522,6.91,15.24,0.44496294633544764
87.78,2285,9.94,18.68,0.5062417508474993
99,2152,8.51,18.53,0.4347199910682321
95.23,2530,8.02,12.03,0.46857186862943545
92.87,2257,1.41,16.39,0.47234412789183877
96.48,2266,13.85,12.62,0.49114746137364845
98.05,2114,17.05,10.36,0.5152897914571333
95.81,2299,13.23,14.33,0.4801779408813012
90.35,2217,13.37,15.77,0.5194204644234294
92.07,2507,7.09,4.23,0.5458887711469705
93.31,2235,11.97,14.05,0.5049446367989306
92.86,2107,8.93,15.16,0.5082941159320101
95.03,2337,6.5,19.06,0.43893869491646087
96.51,2168,14.63,15.04,0.48544110911314675
94.86,2320,6.62,17.36,0.45351685051790946
96.19,2355,0.95,19.84,0.41438861492986623
94.02,2218,14.85,15.01,0.49963129971296083
94.34,2054,2.23,6.77,0.5483087889162274
94.41,2241,9.36,17.47,0.46846746196803185
98.67,2459,15.59,12.4,0.46020454630258606
98.06,2462,9.97,13.58,0.447066005888929
84.66,1840,2.44,10.99,0.6115248527679156
95.38,2275,8.26,15.53,0.4692427188877663
90.05,2060,16.25,7.45,0.59755194758588015
91.31,2407,11.08,16.78,0.48271102949407446
96.55,2678,14.19,6.25,0.4938313055972281
92.63,2172,9.28,16.11,0.4976801069118868
89.84,2008,12.99,15.56,0.5446132656084011
92.99,2130,-0.83,16.24,0.4812647785831341
92.51,2165,11.48,8.29,0.5560743309247481
95.68,2544,9.06,18.7,0.4207154614507561
94.35,1969,2.96,19.66,0.4701469503452822
92.96,2485,4.09,18.73,0.43792784582708505
93.4,2176,17.37,7.29,0.5649466151787211
92.11,2100,6.88,14.18,0.517809929155791
98.44,2244,20.98,5.3,0.540545406102123
94.56,2305,5.94,18.29,0.4497879025549095
89.67,1906,16.88,-1.44,0.6713802589096607
95.15,2262,3.02,18.82,0.44122132896275806
93.83,2061,9.46,10.7,0.5368634187203224
95.36,2322,1.28,21.28,0.414576138503249
95.92,2597,8.96,18.48,0.4151609475528531
91.56,2268,15.36,14.35,0.5183788099540059
86.26,1856,12.26,8.51,0.6302788164049615
93.5,2222,17,8.95,0.5479195850223958
94.29,1960,7.3,14.9,0.5112200357188287
94.64,3242,18.53,0.83,0.4964772417868846
94.93,2212,13.75,15.44,0.4886558921664493
95.75,2088,19.56,10.76,0.5364564609920922
99.34,2020,14.48,6.05,0.539973181784556
95.58,2088,8.19,19.08,0.461978626303687
93.72,2414,16.65,14.26,0.4905977832045586
97.87,2629,6.2,18.78,0.3916709187388111
92.67,2281,0.21,22.1,0.430907524081651
96.8,2157,17.34,10.97,0.5166793719916262
94.76,2111,15.19,12.37,0.523274651775393
93.17,2299,3.97,16.03,0.47270802763557135
92.83,2043,7.57,14.75,0.5153621220988145
94.64,2247,14.7,14.95,0.49229126386214755
92.97,1903,8.28,11.92,0.5485370193291589
98.95,2306,16.01,11.81,0.4779344254853432
91.4,2262,12.37,19.1,0.4827503634006709
93.96,1999,11.29,11.22,0.5415394960999165
91.25,2297,8.02,17.22,0.4859021890956635
90.41,2293,5.93,16.36,0.49490948850934585
93.83,2560,6.35,17.88,0.4336807198431737
93.42,2290,5.8,18.35,0.4590543392246573
94.78,2213,8.23,18.46,0.4598717414409059
95.42,2496,13.74,14.54,0.4630536475668879
92.59,2175,15.75,13,0.5297470844701853
95.39,2231,12.7,14.61,0.4872378607488454
94.46,2308,13.43,17.31,0.46939373843205473
96.37,2511,8.58,18.2,0.42142268956915846
89.99,2053,12.05,5.03,0.6076860649354757
91.33,2313,6.49,15.63,0.49198813165033234
96.57,2549,9.88,17.62,0.4222884964258452
93.5,2264,13.08,8.36,0.5412403046259527
97.13,2234,12.56,16.34,0.4619967662595449
92.57,2355,2.25,18.25,0.4537044188532974
95.24,2203,11.43,15.21,0.48490264088460244
95.66,1982,3.45,11.01,0.5188698043732561
95.81,2328,3.32,14.95,0.45649944851147345
94.05,2070,4.41,14.6,0.4992977878955731
95.24,2345,11.29,14.97,0.472260534023549
88.52,1897,11.63,5.71,0.627590099309069
96.13,2225,9.06,16.72,0.4618663540987506
95.99,2318,8.57,12.65,0.48057001648052655
94.07,2302,11.7,13.1,0.4986641446055073
96.77,2344,11.34,11.66,0.483586531124721
91.98,2100,2.9,13.32,0.5179480268823917
97.23,2033,7.35,18.46,0.4579614585527194
92.59,2068,15.68,4.28,0.5984415996043816
93.18,2317,13.81,15.7,0.4896340909684943
95.23,2211,18.39,5.99,0.558512842312507
96.01,2434,7.88,17.44,0.43544772714355806
94.61,2026,11.91,15.69,0.5046655238817813
89.67,2051,17.08,12.6,0.5683820116541779
94.77,2509,11.16,15.5,0.4557727599243343
92.13,2120,17.21,10.09,0.5606677306580694
91.98,2177,5.02,19.38,0.47258717169023323
91.62,2091,-0.82,17.83,0.4845147241988395
94.46,2399,2.5,18.81,0.4321373590918028
91.82,2263,8.88,19.23,0.4727789817092933
93.64,2153,8.18,17.83,0.47845892188318295
94.27,2258,5.29,16.28,0.469093230526489
93.25,2524,4.97,19.36,0.42924100990070696
95.53,2099,12.29,15.01,0.4958493947862149
95.01,2175,14.94,11.72,0.5190901590608403
92.52,2183,5.19,19.86,0.46500669887853396
97.1,2063,6.75,16.18,0.4704364430361661
95.45,2237,9.16,19.94,0.44411449047766294
91.49,2320,-1.89,18.38,0.45734492523965337
94.23,2025,10.7,15.77,0.5050171119374988
90.74,2171,15.11,12.22,0.5480720692399957
93.21,1857,5.8,15.18,0.5250264809282166
94.78,1845,13.12,-2.51,0.6433721583120473
93.66,2228,13.55,12.24,0.51802467750466
95.07,2203,17.74,10.66,0.527791445726997
91.11,2068,11.48,12.26,0.5491247527327897
93.46,2338,12.02,16.27,0.47857665047921094
92.98,2039,15.47,8.17,0.572310197567468
93.4,2164,3.23,18.08,0.46915019856247114
98.47,2120,17.99,5.64,0.5452205702759891
97.76,2518,11.14,17.25,0.4211559516265035
95.58,2659,7.56,19.85,0.40037625403477395
97.04,2268,6.7,18.19,0.4370816449918782
95.71,2433,16.76,11.04,0.49601998658060925
93.77,2547,3.6,20.56,0.4130090607489179
92.92,2410,4.99,19.43,0.44233190436604786
94.9,2235,11.05,16.3,0.47620756018831945
90.19,2095,8.94,16.19,0.5223753077459915
91.59,2348,13.46,15.96,0.4960589168604805
91.03,2196,13.24,7.74,0.5705194091375102
93.4,2417,2.18,18.03,0.4428717500078856
99.22,2463,12.88,17.29,0.4184414425870481
95.92,2381,7.27,15.67,0.4522004375538736
90.61,2080,15.1,9.24,0.57787653845696485
93.58,1986,19.2,13.56,0.5430008499502551
91.71,2079,14.89,11.94,0.5514568240686781
94.17,2118,6.39,13.39,0.505232671136859
96.08,2059,14.93,10.09,0.5336605689805458
96.07,2605,10.54,17.33,0.4235287666920138
98.52,2509,6.16,19.92,0.390905315880272
95.11,2252,18.75,10.45,0.5257766419211551
94.56,2546,-0.02,20.73,0.40041916613868267
92.27,2109,10.2,18.7,0.49048936355993983
97.11,2475,5.51,19.45,0.40624304594151517
96.81,2388,16.78,8.22,0.5115399658866371
95.63,2362,5.09,16.33,0.44811647077273564
95.26,2070,13.04,15.24,0.5004294054617765
95.57,2288,1.99,20.91,0.4199453595201097
88.02,1742,14.57,10.75,0.6178680629433148
97.57,2444,4.39,17.02,0.4201403899176588
94.27,2363,4.56,19.21,0.43776217546922563
97.25,2238,8.58,14.51,0.4664674069171851
98.68,2424,3.3,19.32,0.3971199349659226
87.42,1852,15.43,11.5,0.6082940090697835
95.47,2588,10.44,17.7,0.4269186501200935
94.84,2400,6.21,15.41,0.4583141290413702
100.77,1822,13.36,4.85,0.5550836251947197
93.69,2411,10.39,16.43,0.46583510918872095
92.93,2083,18.29,14.22,0.5322680585688205
94.79,2405,8.99,18.35,0.44296834673316215
95.35,1981,4.83,16.07,0.4890996703513873
92.29,2264,3.64,20.32,0.4530334298038115
93.63,2166,8,17.48,0.4793285499947042
92.5,2090,10.29,18.28,0.49367154636450883
90.59,2008,14.91,9.02,0.5861116279936827
94.46,2283,10.57,15.88,0.4767901018167906
94.08,2394,6.49,17.37,0.45173308274935065
99.03,2530,5.33,18.27,0.3946961619702925
94.11,2643,12.24,17.73,0.43429354082969157
94.78,2223,2.02,18.65,0.44724557900208883
93.51,2161,14.39,9.89,0.5431243576346046
93.88,2523,5.21,17.21,0.43952933138432243
94.24,2225,7.09,15.95,0.47784122237336
97.37,2201,11.09,13.5,0.4803106061277642
94.15,2019,15.74,3.22,0.598969740965978
95.24,2131,9.31,16.63,0.4787902334412229
94.43,1960,15.16,11.23,0.548286560299258
94.57,2093,14.23,14.47,0.5105506880462253
95.85,2689,3.36,16.83,0.4086101240649256
95.57,2210,11.56,17.14,0.4688377431041152
95.2,1964,4.32,14.98,0.4984776304305765
96.32,2363,2.93,10.31,0.48012156317109655
95.15,2229,17.3,10.06,0.5279706268350569
93.36,2163,7.93,17.94,0.4783858892093636
93.26,2041,16.24,6.35,0.5834558868733859
92.79,2430,11.91,12.12,0.5025690272218881
90.16,2071,16.76,12.04,0.56606964794932
90.74,2350,13.08,17.56,0.49064880063953326
92.08,2321,6.31,15.59,0.48557463790160094
92.17,2233,16.35,12.54,0.5312756011150942
92.46,2148,14.33,15.66,0.5128903762295818
87.45,1895,11.61,6.4,0.6307995270001862
91.65,2465,13.71,13.99,0.4978786190823172
92.25,1652,8.34,12.01,0.5777770459034973
91.39,1993,2.14,17.17,0.5054165825311993
91.13,1852,11.51,7.63,0.6007663788746965
92.31,2342,14.26,5.9,0.5609440458718894
90.02,2001,19.15,-4.54,0.6826998025742707
95.27,2120,19.46,3.7,0.5841124269809514
90.58,2606,-1.44,20.42,0.42315173206163054
93.9,2201,15.19,13.56,0.5126704366610241
93.03,2170,8.13,15.78,0.49521052696541973
93.49,2337,11.62,14.35,0.4908631057860931
98.06,2307,8.42,18.59,0.4259883577883669
94.69,2249,11.07,7.68,0.5351419206155824
95.43,2328,17.03,7.01,0.5363890754866597
98.42,2505,4.56,16.85,0.4095206660525581
95.27,2234,12.97,7.66,0.5356329632157719
96.62,2277,14.01,11.13,0.49944512741931796
90.44,2275,14.91,5.89,0.5822423475673599
95.24,2581,7.63,18.19,0.42138710342331975
92.24,2292,15.39,17.32,0.4907304862249787
90.93,2288,6.73,10.53,0.5325925387189225
96.83,1868,8.7,14.91,0.5036779328069456
93.87,2112,17.42,11.09,0.5422136833929477
86.06,1971,-2.96,11.75,0.5751662445673231
95.82,2186,17.8,6.21,0.5541513618288746
93.78,2361,14.23,13.06,0.49951257957764206
92.76,2351,5.1,19.36,0.44994333491096117
93.76,2420,17.41,6.95,0.540753948037969
93.61,2073,4.12,17.82,0.4798417373866036
94.97,1988,12.03,16.51,0.5003536624735618
90.69,2474,6.77,20.56,0.44784532435892743
88.66,1791,14.91,7.91,0.6275621356621444
93.61,2030,8.95,14.57,0.5143828968576811
87.21,1881,14.36,12.58,0.5982674707325074
97.04,2537,7.45,12.89,0.44770289838424604
90.48,2138,13.01,12.87,0.5453371693239293
90.53,2148,3.96,16.32,0.5053364807754103
89.36,2257,1.24,21.89,0.46077583784853554
95.86,2381,7.75,17.7,0.43975668353128816
98.28,2555,7.5,18.96,0.39666904980018725
96.86,2153,5.7,13.64,0.4788471836362106
92.61,2036,13.59,13.08,0.5391426115935768
94.77,2514,10.79,11.61,0.48108174631353506
92.87,2528,-2,12.84,0.46400749853430645
97.89,1973,18.27,7.77,0.5500081195109997
96.09,2240,15.65,14.05,0.4899075738244872
96.55,2211,2.67,17.54,0.4439368400140423
96,2412,11.16,17.71,0.44128943662366044
93.01,2341,9.89,19.17,0.458354250496776
92.44,2219,6.1,14.32,0.501299543633647
97.75,2221,11.76,18.38,0.44356699434084634
97.78,2100,16.13,10.22,0.5180942927459854
87.87,1909,14.48,5.51,0.6367233848883498
91.71,2172,7.9,18.4,0.4866031395317027
87.74,2170,10.3,13.86,0.5512358111162688
97.15,2168,5.25,15.46,0.46208683788800314
90.52,2370,6,17.98,0.47554793088797365
94.04,2315,3.12,20.28,0.4345642369341127
95.89,2054,7.26,6.09,0.5498352552246447
93.53,2341,15.48,12.21,0.5112581058154507
97.17,2146,3.92,14.57,0.46792095425850005
95.51,2177,8.57,16.14,0.47432615129536776
95.76,2544,10.12,12.67,0.4624295324925027
91.88,2069,10.47,16.44,0.5132266744873438
96.72,2249,11.65,16.04,0.4640725024895412
96.21,2432,14.25,19.16,0.43318103520276285
90.98,1975,11.74,13.99,0.5479558932398724
93.89,2514,0.19,20,0.4134509562344305
96.27,2287,14.4,14.09,0.4815395259342548
95.32,2246,9.96,17.25,0.4637167589383517
93.26,2166,10.92,14.99,0.503974581542673
90.87,2216,6.97,2,0.5975400404613488
92.31,2215,10.1,15.16,0.5036668787285719
63.18,1509,-3.01,17.7,0.7322372747495983
94.03,2516,5.67,21.32,0.41245750970265427
95.48,2027,16.89,6.53,0.5685046528056391
89.97,1888,14,7.31,0.6117073691927695
95.75,2137,7.92,14.87,0.4840503865603691
92.13,2113,14.14,9.37,0.5610996952372926
93.7,2437,9.4,15.8,0.46581616545876847
90.66,2190,16.08,4.27,0.6013707411994466
92.67,2295,5.24,21.2,0.4439160309951335
94.76,2215,17.34,13.73,0.5073293940635906
91.67,2094,10.71,13.88,0.5301485592175307
95.43,1920,16.92,7.19,0.5748921529853622
89.92,1826,15.23,8.93,0.6093626958090269
99.48,2430,-3.84,16.13,0.40017160346804137
95.79,2462,2.84,20.56,0.4053454033699663
95.67,2217,7.97,13.34,0.4872394320782825
96.68,2297,10.15,16.72,0.4525345148803903
98.34,2015,14.47,4.79,0.556350222987025
93.94,2299,11.37,11.46,0.510560606327347
94.94,2219,16.87,11.41,0.5206132309649778
93.16,2084,15.69,1.06,0.6138563381175669
96.99,2156,14.5,11.39,0.5077228778563364
92.52,2123,10.85,16.72,0.5018359815730641
93.93,2421,17.83,10.74,0.5143286109317744
94.97,2365,11.71,18.19,0.4511638482189167
94.84,2394,8.97,11.32,0.49135489587123293
97.69,1870,18.3,3.52,0.5899226520559526
96.09,2319,8.16,18.78,0.4375403765947667
92.02,2406,6.01,21.21,0.4390628931466356
96.23,2103,14.85,9.91,0.5292933541269326
96.69,2035,6.85,15.07,0.48397906989375594
96.05,2343,15.62,9.54,0.5107114028291094
